"Timestamp","Age","Sex","Height in (cm)","Weight in (kilograms)"
"2023/03/18 1:41:28 PM GMT+8","21","Female","158","47"
"2023/03/18 1:41:32 PM GMT+8","20","Male","180","54"
"2023/03/18 1:41:52 PM GMT+8","20","Male","178","85"
"2023/03/18 1:41:57 PM GMT+8","21","Male","152.4","43"
"2023/03/18 1:42:00 PM GMT+8","21","Male","165","89"
"2023/03/18 1:42:08 PM GMT+8","23","Male","169","74"
"2023/03/18 1:42:08 PM GMT+8","21","Male","170","68"
"2023/03/18 1:42:14 PM GMT+8","21","Female","159","55"
"2023/03/18 1:42:22 PM GMT+8","21","Male","167.64","70"
"2023/03/18 1:42:28 PM GMT+8","20","Male","168","65"
"2023/03/18 1:42:31 PM GMT+8","20","Female","170","64"
"2023/03/18 1:42:35 PM GMT+8","20","Female","152.4cm","38kg"
"2023/03/18 1:42:38 PM GMT+8","21","Female","162","48"
"2023/03/18 1:42:42 PM GMT+8","20","Male","168","59"
"2023/03/18 1:42:42 PM GMT+8","21","Male","140","47"
"2023/03/18 1:42:49 PM GMT+8","21","Male","176","50"
"2023/03/18 1:43:07 PM GMT+8","25","Male","170","70"
"2023/03/18 1:43:09 PM GMT+8","21","Male","169","75"
"2023/03/18 1:43:10 PM GMT+8","20","Male","165","60"
"2023/03/18 1:43:19 PM GMT+8","21","Female","163","50"
"2023/03/18 1:43:22 PM GMT+8","21","Male","171.34","54"
"2023/03/18 1:43:28 PM GMT+8","21","Female","170","79"
"2023/03/18 1:43:31 PM GMT+8","21","Male","163","48"
"2023/03/18 1:43:44 PM GMT+8","21","Female","165","50"
"2023/03/18 1:43:46 PM GMT+8","22","Female","174","88"
"2023/03/18 1:43:47 PM GMT+8","21","Male","155","40"
"2023/03/18 1:43:52 PM GMT+8","20","Female","157","51"
"2023/03/18 1:43:54 PM GMT+8","21","Female","167","79"
"2023/03/18 1:44:03 PM GMT+8","21","Female","152","47"
"2023/03/18 1:44:07 PM GMT+8","21","Male","175","79"
"2023/03/18 1:44:09 PM GMT+8","22","Male","164","50"
"2023/03/18 1:44:17 PM GMT+8","22","Male","172","76"
"2023/03/18 1:44:18 PM GMT+8","28","Male","165","75"
"2023/03/18 1:44:25 PM GMT+8","21","Male","169","89"
"2023/03/18 1:44:35 PM GMT+8","20","Female","155","55"
"2023/03/18 1:44:35 PM GMT+8","24","Female","149","50"
"2023/03/18 1:44:37 PM GMT+8","20","Female","153","52"
"2023/03/18 1:44:41 PM GMT+8","70","Female","150","59"
"2023/03/18 1:44:41 PM GMT+8","21","Female","152","48"
"2023/03/18 1:44:55 PM GMT+8","21","Female","161","38"
"2023/03/18 1:44:55 PM GMT+8","21","Female","155","70"
"2023/03/18 1:44:58 PM GMT+8","22","Male","167.64 ","68"
"2023/03/18 1:45:04 PM GMT+8","20","Male","160","50"
"2023/03/18 1:45:04 PM GMT+8","22","Male","171","55"
"2023/03/18 1:45:05 PM GMT+8","21","Female","152","48"
"2023/03/18 1:45:06 PM GMT+8","18","Male","163","54"
"2023/03/18 1:45:09 PM GMT+8","21","Male","169","56"
"2023/03/18 1:45:18 PM GMT+8","21","Female","149","70"
"2023/03/18 1:45:19 PM GMT+8","22","Male","167","50"
"2023/03/18 1:45:20 PM GMT+8","20","Male","170","80"
"2023/03/18 1:45:26 PM GMT+8","21","Male","151","55"
"2023/03/18 1:45:28 PM GMT+8","20","Male","162","47"
"2023/03/18 1:45:28 PM GMT+8","20","Male","152.4","40"
"2023/03/18 1:45:32 PM GMT+8","24","Male","164","65"
"2023/03/18 1:45:34 PM GMT+8","23","Male","170","60"
"2023/03/18 1:45:52 PM GMT+8","20","Female","152.4","42"
"2023/03/18 1:45:55 PM GMT+8","21","Male","172","68"
"2023/03/18 1:45:57 PM GMT+8","20","Male","173","69"
"2023/03/18 1:46:00 PM GMT+8","21","Male","178","68"
"2023/03/18 1:46:01 PM GMT+8","21","Male","166","70"
"2023/03/18 1:46:03 PM GMT+8","21","Female","150","53"
"2023/03/18 1:46:08 PM GMT+8","100","Male","187","66"
"2023/03/18 1:46:09 PM GMT+8","14","Female","168","80"
"2023/03/18 1:46:10 PM GMT+8","22","Female","167","75"
"2023/03/18 1:46:11 PM GMT+8","25","Male","167","69"
"2023/03/18 1:46:13 PM GMT+8","20","Male","160","51"
"2023/03/18 1:46:13 PM GMT+8","23","Female","153","50"
"2023/03/18 1:46:22 PM GMT+8","21","Male","165","80"
"2023/03/18 1:46:29 PM GMT+8","22","Female","160","45"
"2023/03/18 1:46:37 PM GMT+8","25","Female","148","45"
"2023/03/18 1:46:38 PM GMT+8","26","Male","160","65"
"2023/03/18 1:46:49 PM GMT+8","21","Female","141","40"
"2023/03/18 1:46:54 PM GMT+8","24","Male","150","45"
"2023/03/18 1:46:57 PM GMT+8","25","Male","165","54"
"2023/03/18 1:46:58 PM GMT+8","21","Male","189","68"
"2023/03/18 1:47:13 PM GMT+8","19","Male","165","53"
"2023/03/18 1:47:28 PM GMT+8","22","Female","163","70"
"2023/03/18 1:47:44 PM GMT+8","25","Male","170","65"
"2023/03/18 1:47:49 PM GMT+8","20","Male","172","80"
"2023/03/18 1:47:53 PM GMT+8","20","Male","169","57"
"2023/03/18 1:48:01 PM GMT+8","21","Female","160","50"
"2023/03/18 1:48:03 PM GMT+8","3","Male","91","34"
"2023/03/18 1:48:09 PM GMT+8","20","Male","167","85"
"2023/03/18 1:48:28 PM GMT+8","20","Female","160","55"
"2023/03/18 1:48:33 PM GMT+8","25","Male","159","56"
"2023/03/18 1:48:35 PM GMT+8","21","Male","155","51"
"2023/03/18 1:48:37 PM GMT+8","20","Female","165","50"
"2023/03/18 1:48:55 PM GMT+8","21","Male","167","49"
"2023/03/18 1:48:59 PM GMT+8","45","Male","172","53"
"2023/03/18 1:49:00 PM GMT+8","45","Female","165","80"
"2023/03/18 1:49:12 PM GMT+8","22","Male","167","55"
"2023/03/18 1:49:25 PM GMT+8","23","Female","165","46"
"2023/03/18 1:49:25 PM GMT+8","20","Female","160","65"
"2023/03/18 1:49:38 PM GMT+8","99","Male","156","54"
"2023/03/18 1:49:45 PM GMT+8","21","Male","159","51"
"2023/03/18 1:49:45 PM GMT+8","30","Male","200","50"
"2023/03/18 1:49:54 PM GMT+8","22","Male","174","65"
"2023/03/18 1:50:06 PM GMT+8","21","Male","160","45"
"2023/03/18 1:50:21 PM GMT+8","25","Male","175","65"
"2023/03/18 1:50:29 PM GMT+8","21","Male","145","39"